,mobility_id,sub_region,metro_area,date,retail_and_rec,grocery_and_pharma,parks,transit_stations,workplaces,residential,location_id,date_id
0,44146,Ontario,Ottawa Division,2020-04-01,-58,-31,-28,-72,-73,28,2251,0
1,44147,Ontario,Ottawa Division,2020-04-02,-58,-30,-25,-74,-74,29,2251,1
2,44148,Ontario,Ottawa Division,2020-04-03,-63,-33,-44,-75,-73,31,2251,2
3,44149,Ontario,Ottawa Division,2020-04-04,-60,-34,12,-59,-48,14,2251,3
4,44150,Ontario,Ottawa Division,2020-04-05,-63,-38,-21,-70,-48,13,2251,4
5,44151,Ontario,Ottawa Division,2020-04-06,-59,-31,-11,-74,-74,27,2251,5
6,44152,Ontario,Ottawa Division,2020-04-07,-60,-28,-28,-75,-74,28,2251,6
7,44153,Ontario,Ottawa Division,2020-04-08,-59,-24,-45,-75,-74,29,2251,7
8,44154,Ontario,Ottawa Division,2020-04-09,-53,-6,-53,-77,-75,29,2251,8
9,44155,Ontario,Ottawa Division,2020-04-10,-86,-80,-54,-85,-89,38,2251,9
10,44156,Ontario,Ottawa Division,2020-04-11,-56,-14,-18,-63,-48,14,2251,10
11,44157,Ontario,Ottawa Division,2020-04-12,-83,-79,-15,-72,-58,14,2251,11
12,44158,Ontario,Ottawa Division,2020-04-13,-64,-36,-64,-83,-80,31,2251,12
13,44159,Ontario,Ottawa Division,2020-04-14,-59,-23,-40,-77,-74,29,2251,13
14,44160,Ontario,Ottawa Division,2020-04-15,-59,-27,-48,-76,-74,29,2251,14
15,44161,Ontario,Ottawa Division,2020-04-16,-59,-27,-39,-76,-74,30,2251,15
16,44162,Ontario,Ottawa Division,2020-04-17,-62,-30,-33,-74,-72,31,2251,16
17,44163,Ontario,Ottawa Division,2020-04-18,-61,-32,7,-59,-43,14,2251,17
18,44164,Ontario,Ottawa Division,2020-04-19,-65,-42,-50,-74,-46,14,2251,18
19,44165,Ontario,Ottawa Division,2020-04-20,-58,-29,-16,-74,-73,27,2251,19
20,44166,Ontario,Ottawa Division,2020-04-21,-62,-36,-59,-78,-74,30,2251,20
21,44167,Ontario,Ottawa Division,2020-04-22,-60,-31,-53,-77,-73,30,2251,21
22,44168,Ontario,Ottawa Division,2020-04-23,-56,-23,-22,-73,-73,29,2251,22
23,44169,Ontario,Ottawa Division,2020-04-24,-63,-29,-29,-73,-71,30,2251,23
24,44170,Ontario,Ottawa Division,2020-04-25,-59,-28,31,-56,-41,13,2251,24
25,44171,Ontario,Ottawa Division,2020-04-26,-59,-31,-10,-66,-41,12,2251,25
26,44172,Ontario,Ottawa Division,2020-04-27,-57,-26,-16,-73,-72,27,2251,26
27,44173,Ontario,Ottawa Division,2020-04-28,-55,-23,-1,-70,-72,27,2251,27
28,44174,Ontario,Ottawa Division,2020-04-29,-56,-27,-31,-73,-71,28,2251,28
29,44175,Ontario,Ottawa Division,2020-04-30,-57,-28,-59,-77,-72,30,2251,29
30,44176,Ontario,Ottawa Division,2020-05-01,-57,-22,-14,-70,-70,29,2251,30
31,44177,Ontario,Ottawa Division,2020-05-02,-55,-26,30,-56,-37,12,2251,31
32,44178,Ontario,Ottawa Division,2020-05-03,-51,-24,53,-59,-35,10,2251,32
33,44179,Ontario,Ottawa Division,2020-05-04,-54,-25,-27,-74,-71,27,2251,33
34,44180,Ontario,Ottawa Division,2020-05-05,-53,-22,-12,-71,-71,27,2251,34
35,44181,Ontario,Ottawa Division,2020-05-06,-53,-21,-5,-70,-70,27,2251,35
36,44182,Ontario,Ottawa Division,2020-05-07,-53,-20,-10,-72,-70,28,2251,36
37,44183,Ontario,Ottawa Division,2020-05-08,-58,-22,-27,-72,-68,29,2251,37
38,44184,Ontario,Ottawa Division,2020-05-09,-53,-17,-34,-67,-36,14,2251,38
39,44185,Ontario,Ottawa Division,2020-05-10,-43,-12,46,-61,-27,9,2251,39
40,44186,Ontario,Ottawa Division,2020-05-11,-53,-25,-2,-73,-69,26,2251,40
41,44187,Ontario,Ottawa Division,2020-05-12,-52,-22,-13,-73,-69,27,2251,41
42,44188,Ontario,Ottawa Division,2020-05-13,-49,-19,15,-69,-68,26,2251,42
43,44189,Ontario,Ottawa Division,2020-05-14,-48,-17,12,-69,-69,26,2251,43
44,44190,Ontario,Ottawa Division,2020-05-15,-55,-23,-29,-72,-68,29,2251,44
45,44191,Ontario,Ottawa Division,2020-05-16,-48,-18,68,-52,-30,10,2251,45
46,44192,Ontario,Ottawa Division,2020-05-17,-37,-7,121,-55,-24,8,2251,46
47,44193,Ontario,Ottawa Division,2020-05-18,-67,-62,93,-76,-85,27,2251,47
48,44194,Ontario,Ottawa Division,2020-05-19,-40,-4,17,-69,-67,24,2251,48
49,44195,Ontario,Ottawa Division,2020-05-20,-39,-7,43,-66,-66,24,2251,49
50,44196,Ontario,Ottawa Division,2020-05-21,-39,-9,50,-67,-67,24,2251,50
51,44197,Ontario,Ottawa Division,2020-05-22,-45,-14,55,-66,-63,24,2251,51
52,44198,Ontario,Ottawa Division,2020-05-23,-40,-13,117,-48,-21,8,2251,52
53,44199,Ontario,Ottawa Division,2020-05-24,-35,-14,145,-52,-19,6,2251,53
54,44200,Ontario,Ottawa Division,2020-05-25,-41,-16,20,-69,-67,23,2251,54
55,44201,Ontario,Ottawa Division,2020-05-26,-42,-17,16,-69,-66,24,2251,55
56,44202,Ontario,Ottawa Division,2020-05-27,-40,-13,23,-67,-65,24,2251,56
57,44203,Ontario,Ottawa Division,2020-05-28,-39,-11,9,-68,-65,24,2251,57
58,44204,Ontario,Ottawa Division,2020-05-29,-44,-15,14,-65,-62,25,2251,58
59,44205,Ontario,Ottawa Division,2020-05-30,-41,-16,38,-52,-16,10,2251,59
60,44206,Ontario,Ottawa Division,2020-05-31,-34,-9,86,-55,-12,6,2251,60
61,44207,Ontario,Ottawa Division,2020-06-01,-37,-13,32,-67,-64,22,2251,61
62,44208,Ontario,Ottawa Division,2020-06-02,-41,-17,-5,-70,-64,24,2251,62
63,44209,Ontario,Ottawa Division,2020-06-03,-40,-12,17,-67,-63,23,2251,63
64,44210,Ontario,Ottawa Division,2020-06-04,-35,-9,73,-64,-62,22,2251,64
65,44211,Ontario,Ottawa Division,2020-06-05,-42,-14,99,-62,-60,22,2251,65
66,44212,Ontario,Ottawa Division,2020-06-06,-38,-13,85,-52,-13,8,2251,66
67,44213,Ontario,Ottawa Division,2020-06-07,-30,-9,184,-52,-7,4,2251,67
68,44214,Ontario,Ottawa Division,2020-06-08,-34,-11,64,-65,-62,21,2251,68
69,44215,Ontario,Ottawa Division,2020-06-09,-37,-13,38,-67,-62,22,2251,69
70,44216,Ontario,Ottawa Division,2020-06-10,-36,-11,20,-66,-62,23,2251,70
71,44217,Ontario,Ottawa Division,2020-06-11,-33,-8,57,-65,-61,22,2251,71
72,44218,Ontario,Ottawa Division,2020-06-12,-37,-11,48,-62,-58,21,2251,72
73,44219,Ontario,Ottawa Division,2020-06-13,-32,-13,99,-47,-6,6,2251,73
74,44220,Ontario,Ottawa Division,2020-06-14,-24,-9,195,-48,-1,3,2251,74
75,44221,Ontario,Ottawa Division,2020-06-15,-26,-6,84,-63,-61,19,2251,75
76,44222,Ontario,Ottawa Division,2020-06-16,-28,-7,83,-63,-60,20,2251,76
77,44223,Ontario,Ottawa Division,2020-06-17,-29,-6,76,-61,-60,20,2251,77
78,44224,Ontario,Ottawa Division,2020-06-18,-27,-5,81,-62,-60,20,2251,78
79,44225,Ontario,Ottawa Division,2020-06-19,-34,-8,81,-59,-57,19,2251,79
80,44226,Ontario,Ottawa Division,2020-06-20,-30,-8,130,-44,-2,3,2251,80
81,44227,Ontario,Ottawa Division,2020-06-21,-23,-8,150,-52,5,0,2251,81
82,44228,Ontario,Ottawa Division,2020-06-22,-30,-14,30,-65,-62,20,2251,82
