id,day,month,year,season,isWeekend,isHoliday
0,1,4,2020,summer,False,False
1,2,4,2020,summer,False,False
2,3,4,2020,summer,False,False
3,4,4,2020,summer,False,False
4,5,4,2020,summer,False,False
5,6,4,2020,summer,True,False
6,7,4,2020,summer,False,False
7,8,4,2020,summer,False,False
8,9,4,2020,summer,False,False
9,10,4,2020,summer,False,False
10,11,4,2020,summer,False,False
11,12,4,2020,summer,False,False
12,13,4,2020,summer,True,False
13,14,4,2020,summer,False,False
14,15,4,2020,summer,False,False
15,16,4,2020,summer,False,False
16,17,4,2020,summer,False,False
17,18,4,2020,summer,False,False
18,19,4,2020,summer,False,False
19,20,4,2020,summer,True,False
20,21,4,2020,summer,False,False
21,22,4,2020,summer,False,False
22,23,4,2020,summer,False,False
23,24,4,2020,summer,False,False
24,25,4,2020,summer,False,False
25,26,4,2020,summer,False,False
26,27,4,2020,summer,True,False
27,28,4,2020,summer,False,False
28,29,4,2020,summer,False,False
29,30,4,2020,summer,False,False
30,1,5,2020,summer,False,False
31,2,5,2020,summer,False,False
32,3,5,2020,summer,False,False
33,4,5,2020,summer,True,False
34,5,5,2020,summer,False,False
35,6,5,2020,summer,False,False
36,7,5,2020,summer,False,False
37,8,5,2020,summer,False,False
38,9,5,2020,summer,False,False
39,10,5,2020,summer,False,False
40,11,5,2020,summer,True,False
41,12,5,2020,summer,False,False
42,13,5,2020,summer,False,False
43,14,5,2020,summer,False,False
44,15,5,2020,summer,False,False
45,16,5,2020,summer,False,False
46,17,5,2020,summer,False,False
47,18,5,2020,summer,True,False
48,19,5,2020,summer,False,False
49,20,5,2020,summer,False,False
50,21,5,2020,summer,False,False
51,22,5,2020,summer,False,False
52,23,5,2020,summer,False,False
53,24,5,2020,summer,False,False
54,25,5,2020,summer,True,False
55,26,5,2020,summer,False,False
56,27,5,2020,summer,False,False
57,28,5,2020,summer,False,False
58,29,5,2020,summer,False,False
59,30,5,2020,summer,False,False
60,31,5,2020,summer,False,False
61,1,6,2020,summer,True,False
62,2,6,2020,summer,False,False
63,3,6,2020,summer,False,False
64,4,6,2020,summer,False,False
65,5,6,2020,summer,False,False
66,6,6,2020,summer,False,False
67,7,6,2020,summer,False,False
68,8,6,2020,summer,True,False
69,9,6,2020,summer,False,False
70,10,6,2020,summer,False,False
71,11,6,2020,summer,False,False
72,12,6,2020,summer,False,False
73,13,6,2020,summer,False,False
74,14,6,2020,summer,False,False
75,15,6,2020,summer,True,False
76,16,6,2020,summer,False,False
77,17,6,2020,summer,False,False
78,18,6,2020,summer,False,False
79,19,6,2020,summer,False,False
80,20,6,2020,summer,False,False
81,21,6,2020,summer,False,False
82,22,6,2020,summer,True,False
83,23,6,2020,summer,False,False
84,24,6,2020,summer,False,False
85,25,6,2020,summer,False,False
86,26,6,2020,summer,False,False
87,27,6,2020,summer,False,False
88,28,6,2020,summer,False,False
89,29,6,2020,summer,True,False
90,30,6,2020,summer,False,False
91,1,7,2020,summer,False,False
92,2,7,2020,summer,False,False
93,3,7,2020,summer,False,False
94,4,7,2020,summer,False,False
95,5,7,2020,summer,False,False
96,6,7,2020,summer,True,False
97,7,7,2020,summer,False,False
98,8,7,2020,summer,False,False
99,9,7,2020,summer,False,False
100,10,7,2020,summer,False,False
101,11,7,2020,summer,False,False
102,12,7,2020,summer,False,False
103,13,7,2020,summer,True,False
104,14,7,2020,summer,False,False
105,15,7,2020,summer,False,False
106,16,7,2020,summer,False,False
107,17,7,2020,summer,False,False
108,18,7,2020,summer,False,False
109,19,7,2020,summer,False,False
110,20,7,2020,summer,True,False
111,21,7,2020,summer,False,False
112,22,7,2020,summer,False,False
113,23,7,2020,summer,False,False
114,24,7,2020,summer,False,False
115,25,7,2020,summer,False,False
116,26,7,2020,summer,False,False
117,27,7,2020,summer,True,False
118,28,7,2020,summer,False,False
119,29,7,2020,summer,False,False
120,30,7,2020,summer,False,False
121,31,7,2020,summer,False,False
